graph_id,vertices,edges,expanded_nodes_astar,expanded_nodes_ucs
1,5,8,4,5
2,5,8,3,3
3,5,8,4,5
4,5,8,5,5
5,5,8,3,4
6,5,8,3,4
7,5,8,4,5
8,5,8,3,5
9,5,8,5,5
10,5,8,3,3
11,10,16,5,10
12,10,16,9,10
13,10,16,8,10
14,10,16,4,7
15,10,16,7,9
16,10,16,5,6
17,10,16,8,10
18,10,16,4,10
19,10,16,5,8
20,10,16,5,7
21,15,25,7,14
22,15,25,11,14
23,15,25,9,15
24,15,25,5,8
25,15,25,6,11
26,15,25,4,8
27,15,25,4,7
28,15,25,10,14
29,15,25,13,15
30,15,25,7,11
31,20,35,5,15
32,20,35,9,18
33,20,35,4,4
34,20,35,9,16
35,20,35,7,20
36,20,35,4,4
37,20,35,3,3
38,20,35,5,12
39,20,35,10,13
40,20,35,6,9
41,25,45,6,23
42,25,45,4,4
43,25,45,3,15
44,25,45,3,7
45,25,45,5,20
46,25,45,4,13
47,25,45,7,18
48,25,45,11,25
49,25,45,4,6
50,25,45,4,6
51,30,55,5,10
52,30,55,6,6
53,30,55,4,7
54,30,55,7,29
55,30,55,7,17
56,30,55,5,12
57,30,55,3,3
58,30,55,9,19
59,30,55,5,24
60,30,55,8,26
61,35,65,4,14
62,35,65,4,14
63,35,65,6,7
64,35,65,6,21
65,35,65,5,15
66,35,65,6,32
67,35,65,5,7
68,35,65,6,32
69,35,65,5,10
70,35,65,7,35
1,5,8,4,4
2,5,8,3,4
3,5,8,3,3
4,5,8,4,5
5,5,8,5,5
6,5,8,4,5
7,5,8,5,5
8,5,8,5,5
9,5,8,3,4
10,5,8,5,5
11,10,16,3,6
12,10,16,4,8
13,10,16,6,9
14,10,16,3,10
15,10,16,3,4
16,10,16,7,10
17,10,16,5,9
18,10,16,5,9
19,10,16,7,9
20,10,16,5,9
21,15,25,12,14
22,15,25,5,10
23,15,25,3,6
24,15,25,4,7
25,15,25,6,7
26,15,25,6,15
27,15,25,6,15
28,15,25,11,14
29,15,25,8,12
30,15,25,5,8
31,20,35,6,12
32,20,35,6,17
33,20,35,10,19
34,20,35,8,12
35,20,35,5,6
36,20,35,5,12
37,20,35,6,17
38,20,35,3,3
39,20,35,5,12
40,20,35,4,12
41,25,45,8,10
42,25,45,9,25
43,25,45,8,25
44,25,45,5,10
45,25,45,3,7
46,25,45,11,23
47,25,45,8,24
48,25,45,9,25
49,25,45,6,20
50,25,45,7,25
51,30,55,5,17
52,30,55,7,29
53,30,55,6,7
54,30,55,5,16
55,30,55,7,30
56,30,55,9,30
57,30,55,3,4
58,30,55,5,14
59,30,55,7,28
60,30,55,6,27
61,35,65,4,14
62,35,65,7,23
63,35,65,6,25
64,35,65,8,31
65,35,65,9,35
66,35,65,5,18
67,35,65,3,3
68,35,65,4,11
69,35,65,11,16
70,35,65,5,18
1,5,8,3,5
2,5,8,4,4
3,5,8,3,3
4,5,8,5,5
5,5,8,3,5
6,5,8,3,5
7,5,8,3,5
8,5,8,4,5
9,5,8,4,4
10,5,8,4,5
11,10,16,6,6
12,10,16,3,5
13,10,16,7,10
14,10,16,3,4
15,10,16,7,10
16,10,16,10,10
17,10,16,4,10
18,10,16,4,9
19,10,16,3,3
20,10,16,3,3
21,15,25,12,15
22,15,25,7,14
23,15,25,3,5
24,15,25,8,15
25,15,25,4,13
26,15,25,5,11
27,15,25,8,15
28,15,25,3,5
29,15,25,4,14
30,15,25,6,10
31,20,35,6,15
32,20,35,8,20
33,20,35,3,3
34,20,35,8,20
35,20,35,4,9
36,20,35,4,5
37,20,35,4,4
38,20,35,6,18
39,20,35,7,13
40,20,35,3,3
41,25,45,9,23
42,25,45,5,11
43,25,45,8,18
44,25,45,5,7
45,25,45,11,17
46,25,45,6,14
47,25,45,5,19
48,25,45,11,23
49,25,45,4,12
50,25,45,6,13
51,30,55,10,29
52,30,55,5,14
53,30,55,5,22
54,30,55,4,7
55,30,55,4,24
56,30,55,3,3
57,30,55,7,28
58,30,55,8,29
59,30,55,5,10
60,30,55,3,15
61,35,65,5,18
62,35,65,5,8
63,35,65,5,23
64,35,65,5,22
65,35,65,5,11
66,35,65,9,20
67,35,65,7,31
68,35,65,5,19
69,35,65,7,24
70,35,65,12,34
1,5,8,5,5
2,5,8,4,5
3,5,8,5,5
4,5,8,4,4
5,5,8,3,4
6,5,8,3,5
7,5,8,4,5
8,5,8,3,5
9,5,8,5,5
10,5,8,5,5
11,10,16,7,10
12,10,16,4,6
13,10,16,8,10
14,10,16,5,7
15,10,16,3,7
16,10,16,3,8
17,10,16,3,8
18,10,16,3,9
19,10,16,6,10
20,10,16,3,4
21,15,25,7,9
22,15,25,6,14
23,15,25,4,7
24,15,25,5,15
25,15,25,13,15
26,15,25,6,11
27,15,25,6,12
28,15,25,5,6
29,15,25,9,15
30,15,25,6,7
31,20,35,8,20
32,20,35,8,20
33,20,35,6,13
34,20,35,6,14
35,20,35,5,11
36,20,35,3,3
37,20,35,5,12
38,20,35,8,17
39,20,35,6,9
40,20,35,5,14
41,25,45,7,21
42,25,45,6,18
43,25,45,3,3
44,25,45,3,9
45,25,45,3,10
46,25,45,6,17
47,25,45,9,21
48,25,45,4,7
49,25,45,6,18
50,25,45,6,9
51,30,55,8,25
52,30,55,8,27
53,30,55,5,10
54,30,55,6,26
55,30,55,8,8
56,30,55,11,28
57,30,55,4,13
58,30,55,6,24
59,30,55,8,21
60,30,55,6,23
61,35,65,6,24
62,35,65,9,33
63,35,65,8,26
64,35,65,8,34
65,35,65,6,31
66,35,65,6,14
67,35,65,9,24
68,35,65,17,35
69,35,65,8,32
70,35,65,10,29
