graph_id,vertices,edges,expanded_nodes_astar,expanded_nodes_ucs
1,5,8,3,4
2,5,8,4,5
3,5,8,3,5
4,5,8,4,5
5,5,8,4,5
6,5,8,3,5
7,5,8,4,4
8,5,8,3,5
9,5,8,4,5
10,5,8,4,5
11,10,16,5,6
12,10,16,7,10
13,10,16,3,3
14,10,16,5,7
15,10,16,8,10
16,10,16,4,4
17,10,16,3,6
18,10,16,5,6
19,10,16,8,10
20,10,16,5,5
21,15,25,7,12
22,15,25,5,11
23,15,25,7,15
24,15,25,9,15
25,15,25,4,11
26,15,25,3,5
27,15,25,10,15
28,15,25,9,12
29,15,25,6,15
30,15,25,8,10
31,20,35,9,12
32,20,35,6,19
33,20,35,6,8
34,20,35,10,18
35,20,35,5,10
36,20,35,4,10
37,20,35,12,20
38,20,35,3,4
39,20,35,5,17
40,20,35,8,11
41,25,45,3,8
42,25,45,6,12
43,25,45,7,20
44,25,45,9,25
45,25,45,8,25
46,25,45,7,15
47,25,45,7,16
48,25,45,5,18
49,25,45,9,20
50,25,45,5,9
51,30,55,6,17
52,30,55,8,19
53,30,55,4,13
54,30,55,4,23
55,30,55,9,24
56,30,55,3,5
57,30,55,6,12
58,30,55,7,30
59,30,55,5,20
60,30,55,3,10
61,35,65,6,30
62,35,65,6,17
63,35,65,4,8
64,35,65,6,20
65,35,65,5,13
66,35,65,9,32
67,35,65,6,17
68,35,65,5,13
69,35,65,7,28
70,35,65,6,23
